player_id,Player,DraftYear,Pick,PickBand,text_profile,Status
66,Don Smith,1947,67.0,SecondRound,"Giocatore: Don Smith. Proveniente da Minnesota. Selezionato al Draft NBA 1947 con la pick 67 (SecondRound). Tiri liberi: 66.7%, tiratore di liberi migliorabile. Segna 0.8 punti a partita. Distribuisce 0.3 assist di media. Win Shares totali: -0.1.",Retired
67,Dan Miller,1947,68.0,SecondRound,"Giocatore: Dan Miller. Proveniente da Saint Louis. Selezionato al Draft NBA 1947 con la pick 68 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
68,Al Nichols,1947,69.0,SecondRound,"Giocatore: Al Nichols. Proveniente da Rhode Island. Selezionato al Draft NBA 1947 con la pick 69 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
69,Paul Cloyd,1947,70.0,SecondRound,"Giocatore: Paul Cloyd. Proveniente da Wisconsin. Selezionato al Draft NBA 1947 con la pick 70 (SecondRound). Tiri liberi: 62.5%, tiratore di liberi migliorabile. Segna 2.7 punti a partita. Distribuisce 0.3 assist di media. Win Shares totali: -0.1.",Retired
70,Chick Reiser,1947,71.0,SecondRound,"Giocatore: Chick Reiser. Proveniente da NYU. Selezionato al Draft NBA 1947 con la pick 71 (SecondRound). Tiri liberi: 77.2%, buon tiratore di tiri liberi. Segna 10.4 punti a partita. Distribuisce 2.0 assist di media. Win Shares totali: 13.2.",Retired
71,George Petrovick,1947,72.0,SecondRound,"Giocatore: George Petrovick. Proveniente da High School. Selezionato al Draft NBA 1947 con la pick 72 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
72,Jack Stone,1947,73.0,SecondRound,"Giocatore: Jack Stone. Proveniente da Kansas State. Selezionato al Draft NBA 1947 con la pick 73 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
73,Carl Reichert,1947,74.0,SecondRound,"Giocatore: Carl Reichert. Proveniente da Findlay (OH). Selezionato al Draft NBA 1947 con la pick 74 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
74,John Mandic,1947,75.0,SecondRound,"Giocatore: John Mandic. Proveniente da Oregon State. Selezionato al Draft NBA 1947 con la pick 75 (SecondRound). Tiri liberi: 66.0%, tiratore di liberi migliorabile. Segna 4.1 punti a partita. Distribuisce 1.1 assist di media. Win Shares totali: 2.4.",Retired
75,Robert Bolyard,1947,76.0,SecondRound,"Giocatore: Robert Bolyard. Proveniente da Toledo. Selezionato al Draft NBA 1947 con la pick 76 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
76,Hank Decker,1947,77.0,SecondRound,"Giocatore: Hank Decker. Proveniente da West Texas A&M University. Selezionato al Draft NBA 1947 con la pick 77 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
77,Tom Tomlinson,1947,78.0,SecondRound,"Giocatore: Tom Tomlinson. Proveniente da SMU. Selezionato al Draft NBA 1947 con la pick 78 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
78,Andy Tonkovich,1948,1.0,Top10,"Giocatore: Andy Tonkovich. Proveniente da Marshall. Selezionato al Draft NBA 1948 con la pick 1 (Top10). Tiri liberi: 66.7%, tiratore di liberi migliorabile. Segna 2.6 punti a partita. Distribuisce 0.6 assist di media. Win Shares totali: -0.4.",Retired
79,George Kok,1948,2.0,Top10,"Giocatore: George Kok. Proveniente da Arkansas. Selezionato al Draft NBA 1948 con la pick 2 (Top10). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
80,George Hauptfuhrer,1948,3.0,Top10,"Giocatore: George Hauptfuhrer. Proveniente da Harvard University. Selezionato al Draft NBA 1948 con la pick 3 (Top10). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
81,Dolph Schayes,1948,4.0,Top10,"Giocatore: Dolph Schayes. Proveniente da NYU. Selezionato al Draft NBA 1948 con la pick 4 (Top10). Tiri liberi: 84.9%, buon tiratore di tiri liberi. Segna 18.5 punti a partita. Cattura 12.1 rimbalzi a partita. Distribuisce 3.1 assist di media. Win Shares totali: 142.4.",Retired
